"date","bea_ea_code","bea_ea_name","gdp2018","cases","deaths","pop10"
2020-02-26,128,"Phoenix-Mesa-Scottsdale, AZ",247622633,1,0,3817117
2020-02-26,140,"Sacramento-Arden-Arcade-Truckee, CA-NV",96628861,3,0,1418788
2020-02-26,142,"Salt Lake City-Ogden-Clearfield, UT",92409828,1,0,1029655
2020-02-26,144,"San Antonio, TX",109073496,10,0,1714773
2020-02-26,145,"San Diego-Carlsbad-San Marcos, CA",245138815,1,0,3095313
2020-02-26,146,"San Jose-San Francisco-Oakland, CA",611615883,20,0,4007615
2020-02-26,152,"Seattle-Tacoma-Olympia, WA",43533409,1,0,713335
2020-02-26,157,"Spokane, WA",26482714,4,0,471221
2020-02-27,22,"Boston-Worcester-Manchester, MA-NH",132808105,1,0,722023
2020-02-27,32,"Chicago-Naperville-Michigan City, IL-IN-WI",411671713,2,0,5194675
2020-02-27,97,"Los Angeles-Long Beach-Riverside, CA",1047661346,2,0,12828837
2020-02-27,101,"Madison-Baraboo, WI",45531350,1,0,488073
2020-02-27,120,"Omaha-Council Bluffs-Fremont, NE-IA",45906741,13,0,517110
2020-02-27,128,"Phoenix-Mesa-Scottsdale, AZ",247622633,1,0,3817117
2020-02-27,140,"Sacramento-Arden-Arcade-Truckee, CA-NV",96628861,3,0,1418788
2020-02-27,142,"Salt Lake City-Ogden-Clearfield, UT",92409828,1,0,1029655
2020-02-27,144,"San Antonio, TX",109073496,10,0,1714773
2020-02-27,145,"San Diego-Carlsbad-San Marcos, CA",245138815,1,0,3095313
2020-02-27,146,"San Jose-San Francisco-Oakland, CA",611615883,20,0,4007615
2020-02-27,152,"Seattle-Tacoma-Olympia, WA",43533409,1,0,713335
2020-02-27,157,"Spokane, WA",26482714,4,0,471221
2020-02-28,22,"Boston-Worcester-Manchester, MA-NH",132808105,1,0,722023
2020-02-28,32,"Chicago-Naperville-Michigan City, IL-IN-WI",411671713,2,0,5194675
2020-02-28,97,"Los Angeles-Long Beach-Riverside, CA",1047661346,2,0,12828837
